model,serve_id,node,gpu_ids,cycle_idx,direction,cold,t_api_start,t_api_return,t_log_marker,t_ready,dur_api_s,dur_engine_s,dur_e2e_s,mem_before_mb,mem_after_mb,inflight_load,inflight_total,inflight_errors,inflight_p99_ms
dsqwen-7b,dsqwen-7b-nscc-ds-4a100-node9-gpu-0-546d5d9f88-f94nf,nscc-ds-4a100-node9,0,4,wake,False,2026-07-10T09:16:02.297369Z,2026-07-10T09:16:02.962644Z,2026-07-10T09:16:02.818722Z,2026-07-10T09:16:02.985807Z,0.665276,0.59515,0.688438,4070,37892,False,0,0,
dsqwen-7b,dsqwen-7b-nscc-ds-4a100-node9-gpu-0-546d5d9f88-f94nf,nscc-ds-4a100-node9,0,5,sleep,False,2026-07-10T09:16:04.287333Z,2026-07-10T09:16:05.367063Z,2026-07-10T09:16:05.220072Z,2026-07-10T09:16:05.374114Z,1.07973,1.013903,1.086781,37892,4070,False,0,0,
dsqwen-7b,dsqwen-7b-nscc-ds-4a100-node9-gpu-0-546d5d9f88-f94nf,nscc-ds-4a100-node9,0,5,wake,False,2026-07-10T09:16:06.698481Z,2026-07-10T09:16:07.400701Z,2026-07-10T09:16:07.229042Z,2026-07-10T09:16:07.432853Z,0.70222,0.595843,0.734373,4070,37892,False,0,0,
dsqwen-7b,dsqwen-7b-nscc-ds-4a100-node9-gpu-0-546d5d9f88-f94nf,nscc-ds-4a100-node9,0,6,sleep,False,2026-07-10T09:16:08.745899Z,2026-07-10T09:16:09.822868Z,2026-07-10T09:16:09.683640Z,2026-07-10T09:16:09.827465Z,1.076968,1.013499,1.081565,37892,4070,False,0,0,
dsqwen-7b,dsqwen-7b-nscc-ds-4a100-node9-gpu-0-546d5d9f88-f94nf,nscc-ds-4a100-node9,0,6,wake,False,2026-07-10T09:16:11.144091Z,2026-07-10T09:16:11.800509Z,2026-07-10T09:16:11.658105Z,2026-07-10T09:16:11.824497Z,0.656418,0.602186,0.680406,4070,37892,False,0,0,
dsqwen-7b,dsqwen-7b-nscc-ds-4a100-node9-gpu-0-546d5d9f88-f94nf,nscc-ds-4a100-node9,0,7,sleep,False,2026-07-10T09:16:13.137877Z,2026-07-10T09:16:14.246956Z,2026-07-10T09:16:14.103418Z,2026-07-10T09:16:14.251313Z,1.10908,1.048527,1.113437,37892,4070,False,0,0,
dsqwen-7b,dsqwen-7b-nscc-ds-4a100-node9-gpu-0-546d5d9f88-f94nf,nscc-ds-4a100-node9,0,7,wake,False,2026-07-10T09:16:15.565260Z,2026-07-10T09:16:16.242876Z,2026-07-10T09:16:16.097905Z,2026-07-10T09:16:16.275763Z,0.677616,0.594796,0.710503,4070,37892,False,0,0,
dsqwen-7b,dsqwen-7b-nscc-ds-4a100-node9-gpu-0-546d5d9f88-f94nf,nscc-ds-4a100-node9,0,8,sleep,False,2026-07-10T09:16:17.593895Z,2026-07-10T09:16:18.704724Z,2026-07-10T09:16:18.564954Z,2026-07-10T09:16:18.709127Z,1.110828,1.014479,1.115232,37892,4070,False,0,0,
dsqwen-7b,dsqwen-7b-nscc-ds-4a100-node9-gpu-0-546d5d9f88-f94nf,nscc-ds-4a100-node9,0,8,wake,False,2026-07-10T09:16:20.020071Z,2026-07-10T09:16:20.667428Z,2026-07-10T09:16:20.527374Z,2026-07-10T09:16:20.690621Z,0.647357,0.596327,0.67055,4070,37892,False,0,0,
dsqwen-7b,dsqwen-7b-nscc-ds-4a100-node9-gpu-0-546d5d9f88-f94nf,nscc-ds-4a100-node9,0,9,sleep,False,2026-07-10T09:16:22.005918Z,2026-07-10T09:16:23.067736Z,2026-07-10T09:16:22.929227Z,2026-07-10T09:16:23.072680Z,1.061818,0.997853,1.066762,37892,4070,False,0,0,
dsqwen-7b,dsqwen-7b-nscc-ds-4a100-node9-gpu-0-546d5d9f88-f94nf,nscc-ds-4a100-node9,0,9,wake,False,2026-07-10T09:16:24.390727Z,2026-07-10T09:16:25.053015Z,2026-07-10T09:16:24.909888Z,2026-07-10T09:16:25.084134Z,0.662289,0.606394,0.693407,4070,37892,False,0,0,
dsqwen-7b,dsqwen-7b-nscc-ds-4a100-node9-gpu-0-546d5d9f88-f94nf,nscc-ds-4a100-node9,0,10,sleep,False,2026-07-10T09:16:26.406586Z,2026-07-10T09:16:27.509706Z,2026-07-10T09:16:27.366834Z,2026-07-10T09:16:27.519855Z,1.10312,1.032502,1.113269,37892,4070,False,0,0,
dsqwen-7b,dsqwen-7b-nscc-ds-4a100-node9-gpu-0-546d5d9f88-f94nf,nscc-ds-4a100-node9,0,10,wake,False,2026-07-10T09:16:28.830111Z,2026-07-10T09:16:29.504055Z,2026-07-10T09:16:29.357925Z,2026-07-10T09:16:29.528821Z,0.673944,0.596763,0.69871,4070,37892,False,0,0,
dsqwen-7b,dsqwen-7b-nscc-ds-4a100-node9-gpu-0-546d5d9f88-f94nf,nscc-ds-4a100-node9,0,11,sleep,False,2026-07-10T09:16:30.850176Z,2026-07-10T09:16:31.946941Z,2026-07-10T09:16:31.806892Z,2026-07-10T09:16:31.950309Z,1.096765,1.014747,1.100133,37892,4070,False,0,0,
dsqwen-7b,dsqwen-7b-nscc-ds-4a100-node9-gpu-0-546d5d9f88-f94nf,nscc-ds-4a100-node9,0,11,wake,False,2026-07-10T09:16:33.262278Z,2026-07-10T09:16:33.913023Z,2026-07-10T09:16:33.776217Z,2026-07-10T09:16:33.946274Z,0.650745,0.602005,0.683996,4070,37892,False,0,0,
dsqwen-7b,dsqwen-7b-nscc-ds-4a100-node9-gpu-0-546d5d9f88-f94nf,nscc-ds-4a100-node9,0,12,sleep,False,2026-07-10T09:16:35.246021Z,2026-07-10T09:16:36.329091Z,2026-07-10T09:16:36.184880Z,2026-07-10T09:16:36.334163Z,1.08307,0.999675,1.088142,37892,4070,False,0,0,
dsqwen-7b,dsqwen-7b-nscc-ds-4a100-node9-gpu-0-546d5d9f88-f94nf,nscc-ds-4a100-node9,0,12,wake,False,2026-07-10T09:16:37.641857Z,2026-07-10T09:16:38.295643Z,2026-07-10T09:16:38.158424Z,2026-07-10T09:16:38.326878Z,0.653787,0.605318,0.685021,4070,37892,False,0,0,
dsqwen-7b,dsqwen-7b-nscc-ds-4a100-node9-gpu-0-546d5d9f88-f94nf,nscc-ds-4a100-node9,0,13,sleep,False,2026-07-10T09:16:39.634285Z,2026-07-10T09:16:40.744025Z,2026-07-10T09:16:40.606364Z,2026-07-10T09:16:40.747122Z,1.109739,1.055035,1.112837,37892,4070,False,0,0,
dsqwen-7b,dsqwen-7b-nscc-ds-4a100-node9-gpu-0-546d5d9f88-f94nf,nscc-ds-4a100-node9,0,13,wake,False,2026-07-10T09:16:42.065450Z,2026-07-10T09:16:42.712613Z,2026-07-10T09:16:42.573498Z,2026-07-10T09:16:42.734285Z,0.647163,0.595679,0.668835,4070,37892,False,0,0,
