trace,arm,window_ts,model,node9_awake,node10_awake
t2,apa,2026-07-09T19:39:24Z,dsqwen-7b,0,1
t2,apa,2026-07-09T19:39:24Z,dsqwen-14b,0,1
t2,apa,2026-07-09T19:39:40Z,dsllama-8b,0,1
t2,apa,2026-07-09T19:39:40Z,dsqwen-7b,0,1
t2,apa,2026-07-09T19:39:40Z,dsqwen-14b,0,1
t2,apa,2026-07-09T19:39:56Z,dsllama-8b,0,1
t2,apa,2026-07-09T19:39:56Z,dsqwen-7b,0,1
t2,apa,2026-07-09T19:39:56Z,dsqwen-14b,0,1
t2,apa,2026-07-09T19:40:11Z,dsllama-8b,0,1
t2,apa,2026-07-09T19:40:11Z,dsqwen-7b,0,1
t2,apa,2026-07-09T19:40:11Z,dsqwen-14b,0,1
t2,apa,2026-07-09T19:40:27Z,dsllama-8b,0,1
t2,apa,2026-07-09T19:40:27Z,dsqwen-7b,0,1
t2,apa,2026-07-09T19:40:27Z,dsqwen-14b,0,1
t2,apa,2026-07-09T19:40:43Z,dsllama-8b,0,1
t2,apa,2026-07-09T19:40:43Z,dsqwen-7b,0,1
t2,apa,2026-07-09T19:40:43Z,dsqwen-14b,0,1
t2,apa,2026-07-09T19:40:59Z,dsllama-8b,0,1
t2,apa,2026-07-09T19:40:59Z,dsqwen-7b,0,1
t2,apa,2026-07-09T19:40:59Z,dsqwen-14b,0,1
t2,apa,2026-07-09T19:41:14Z,dsllama-8b,0,1
t2,apa,2026-07-09T19:41:14Z,dsqwen-7b,0,1
t2,apa,2026-07-09T19:41:14Z,dsqwen-14b,0,1
t2,apa,2026-07-09T19:41:30Z,dsllama-8b,0,1
t2,apa,2026-07-09T19:41:30Z,dsqwen-7b,0,1
t2,apa,2026-07-09T19:41:30Z,dsqwen-14b,0,1
t2,apa,2026-07-09T19:41:46Z,dsllama-8b,0,1
t2,apa,2026-07-09T19:41:46Z,dsqwen-7b,0,1
t2,apa,2026-07-09T19:41:46Z,dsqwen-14b,0,1
t2,apa,2026-07-09T19:42:01Z,dsllama-8b,0,1
