timestamp,serve_id,model,node,gpu_ids,state,source
2026-07-09T18:14:03.642286679Z,dsqwen-7b-nscc-ds-4a100-node9-gpu-1-6cdfd4649-gjpqf,dsqwen-7b,nscc-ds-4a100-node9,1,sleeping,vllm_sleep_complete
2026-07-09T18:14:04.791911661Z,dsqwen-7b-nscc-ds-4a100-node9-gpu-0-546d5d9f88-f94nf,dsqwen-7b,nscc-ds-4a100-node9,0,sleeping,vllm_sleep_complete
2026-07-09T18:17:43.471293992Z,dsqwen-7b-nscc-ds-4a100-node9-gpu-0-546d5d9f88-f94nf,dsqwen-7b,nscc-ds-4a100-node9,0,awake,vllm_wake_complete
2026-07-09T18:17:49.980969849Z,dsqwen-7b-nscc-ds-4a100-node9-gpu-1-6cdfd4649-gjpqf,dsqwen-7b,nscc-ds-4a100-node9,1,awake,vllm_wake_complete
2026-07-09T18:17:56.657805542Z,dsqwen-7b-nscc-ds-4a100-node9-gpu-2-6f496c6d5d-f5fkx,dsqwen-7b,nscc-ds-4a100-node9,2,awake,vllm_wake_complete
2026-07-09T18:25:29.377824869Z,dsllama-8b-nscc-ds-4a100-node9-gpu-3-689cdb87dd-dn7rq,dsllama-8b,nscc-ds-4a100-node9,3,awake,vllm_wake_complete
2026-07-09T18:27:36.446642398Z,dsqwen-7b-nscc-ds-4a100-node9-gpu-2-6f496c6d5d-f5fkx,dsqwen-7b,nscc-ds-4a100-node9,2,sleeping,vllm_sleep_complete
2026-07-09T18:27:38.111046587Z,dsqwen-7b-nscc-ds-4a100-node9-gpu-1-6cdfd4649-gjpqf,dsqwen-7b,nscc-ds-4a100-node9,1,sleeping,vllm_sleep_complete
2026-07-09T18:27:38.206416224Z,dsllama-8b-nscc-ds-4a100-node9-gpu-3-689cdb87dd-dn7rq,dsllama-8b,nscc-ds-4a100-node9,3,sleeping,vllm_sleep_complete
2026-07-09T18:27:39.300263765Z,dsqwen-7b-nscc-ds-4a100-node9-gpu-0-546d5d9f88-f94nf,dsqwen-7b,nscc-ds-4a100-node9,0,sleeping,vllm_sleep_complete
2026-07-09T18:30:48.088934564Z,dsqwen-14b-nscc-ds-4a100-node9-gpu-0-1-69879c6d6f-5l98g,dsqwen-14b,nscc-ds-4a100-node9,0-1,awake,vllm_wake_complete
2026-07-09T18:30:57.932759150Z,dsqwen-14b-nscc-ds-4a100-node9-gpu-2-3-69c86d8db7-vnxtl,dsqwen-14b,nscc-ds-4a100-node9,2-3,awake,vllm_wake_complete
2026-07-09T18:43:52.339857803Z,dsqwen-14b-nscc-ds-4a100-node9-gpu-2-3-69c86d8db7-vnxtl,dsqwen-14b,nscc-ds-4a100-node9,2-3,sleeping,vllm_sleep_complete
2026-07-09T18:43:54.058957456Z,dsqwen-14b-nscc-ds-4a100-node9-gpu-0-1-69879c6d6f-5l98g,dsqwen-14b,nscc-ds-4a100-node9,0-1,sleeping,vllm_sleep_complete
2026-07-09T19:02:26.450533328Z,dsqwen-7b-nscc-ds-4a100-node9-gpu-0-546d5d9f88-f94nf,dsqwen-7b,nscc-ds-4a100-node9,0,awake,vllm_wake_complete
2026-07-09T19:02:33.409632975Z,dsqwen-7b-nscc-ds-4a100-node9-gpu-1-6cdfd4649-gjpqf,dsqwen-7b,nscc-ds-4a100-node9,1,awake,vllm_wake_complete
2026-07-09T19:02:39.867515826Z,dsqwen-7b-nscc-ds-4a100-node9-gpu-2-6f496c6d5d-f5fkx,dsqwen-7b,nscc-ds-4a100-node9,2,awake,vllm_wake_complete
2026-07-09T19:06:18.003851202Z,dsllama-8b-nscc-ds-4a100-node9-gpu-3-689cdb87dd-dn7rq,dsllama-8b,nscc-ds-4a100-node9,3,awake,vllm_wake_complete
2026-07-09T19:20:01.521921058Z,dsqwen-7b-nscc-ds-4a100-node9-gpu-2-6f496c6d5d-f5fkx,dsqwen-7b,nscc-ds-4a100-node9,2,sleeping,vllm_sleep_complete
2026-07-09T19:20:03.138893824Z,dsqwen-7b-nscc-ds-4a100-node9-gpu-1-6cdfd4649-gjpqf,dsqwen-7b,nscc-ds-4a100-node9,1,sleeping,vllm_sleep_complete
2026-07-09T19:20:06.946920434Z,dsllama-8b-nscc-ds-4a100-node9-gpu-3-689cdb87dd-dn7rq,dsllama-8b,nscc-ds-4a100-node9,3,sleeping,vllm_sleep_complete
2026-07-09T19:20:10.737753427Z,dsqwen-7b-nscc-ds-4a100-node9-gpu-0-546d5d9f88-f94nf,dsqwen-7b,nscc-ds-4a100-node9,0,sleeping,vllm_sleep_complete
